Наименование аэропорта РФ;Год периода данных;Январь;Февраль;Март;Апрель;Май;Июнь;Июль;Август;Сентябрь;Октябрь;Ноябрь;Декабрь;Январь - Декабрь
Абакан;2018;63,39;60,98;69,46;88,62;83,81;64,99;49,64;70,26;87,35;;;;
Айхал;2018;***;***;***;***;***;***;***;***;***;;;;
Алдан;2018;***;***;***;***;***;***;***;***;***;;;;
Амдерма;2018;***;***;***;***;***;***;***;***;***;;;;
Анадырь;2018;112,58;267,65;221,77;331,37;160,45;89,77;109,29;95,99;103,77;;;;
Анапа(Витязево);2018;43,38;50,43;50,43;61,64;63,94;77,29;82,3;81,2;75;;;;
Апатиты(Хибины);2018;***;***;***;***;***;***;***;***;***;;;;
Архангельск(Васьково);2018;***;***;***;***;***;***;***;***;***;;;;
Архангельск(Талаги);2018;119,56;130,61;166,54;211,94;214,98;132,86;122,48;165,11;121,52;;;;
Астрахань(Нариманово);2018;47,67;53,47;63,11;69,69;66,51;53,62;68,75;77,58;76;;;;
Аян;2018;***;***;***;***;***;***;***;2,1;5,54;;;;
Барнаул(Имени Г.С.Титова);2018;***;***;***;***;***;***;***;244,4;232,6;;;;
Батагай;2018;***;***;***;***;***;***;***;***;***;;;;
Белая Гора;2018;***;***;***;***;***;***;***;***;***;;;;
Белгород;2018;***;***;***;***;***;***;***;3,7;4,41;;;;
Белоярский;2018;6,5;3,9;6,5;9,6;11,7;4,9;7;9,2;4,2;;;;
Белушье;2018;***;***;***;***;***;***;***;***;***;;;;
Березово;2018;***;***;***;***;***;***;***;***;***;;;;
"Беринговский(Филиал ФКП ""А/П Чукотки"")";2018;***;***;***;***;***;***;***;***;***;;;;
Благовещенск;2018;195,2;173,1;200,2;186,9;199,3;185,6;178,8;206,3;214,4;;;;
Бованенково;2018;***;***;***;***;***;***;***;***;***;;;;
Богородское;2018;***;***;***;***;***;***;***;0,31;0,17;;;;
Бодайбо;2018;***;***;***;***;***;***;***;***;***;;;;
Братск;2018;***;***;***;***;***;***;***;***;***;;;;
Брянск;2018;***;***;***;***;***;***;***;***;***;;;;
Бугульма;2018;2,04;1,4;1,71;1,1;1,57;0,96;1,82;1,41;1,54;;;;
Варандей;2018;***;***;***;***;***;***;***;***;***;;;;
Верхневилюйск;2018;***;***;***;***;***;***;***;***;***;;;;
Вижас;2018;***;***;***;***;***;***;***;***;***;;;;
Вилюйск;2018;***;***;***;***;***;***;***;***;***;;;;
"Владивосток(Кневичи)-ОАО ""Международный аэропорт Владивосток""";2018;41,7;40,32;47,76;56,85;50,69;54,3;62;60,4;70,5;;;;
"Владивосток(Кневичи)-ООО ""АЭРО-ГРУЗ""";2018;265,6;312,3;395,4;346,3;356,3;329,7;383;475,3;498,1;;;;
"Владивосток(Кневичи)-ООО ""Карго-Владивосток""";2018;1 173,33;1 311,08;1 502,82;1 356,05;1 410,61;1 507,51;1 637,26;1 761,02;1 704,95;;;;
Владикавказ(Беслан);2018;***;***;***;***;***;***;***;***;***;;;;
Владимир;2018;***;***;***;***;***;***;***;***;***;;;;
Волгоград(Гумрак);2018;53;62;69;70;74;72;64;67;74;;;;
Вологда;2018;***;***;***;***;***;***;***;***;***;;;;
Волоковая;2018;***;***;***;***;***;***;***;***;***;;;;
Воркута;2018;4,44;3,15;4,5;3,67;4,9;5,69;12,85;12,6;12,3;;;;
Воронеж(Чертовицкое);2018;12,37;16,76;14,77;15,98;15,69;14,4;13,3;13,55;16,86;;;;
Геленджик;2018;***;***;***;***;***;***;***;***;***;;;;
Горно-Алтайск;2018;***;***;***;***;***;***;0;0;0;;;;
Грозный(Северный);2018;***;***;***;***;***;***;***;***;***;;;;
Депутатский;2018;***;***;***;***;***;***;***;***;***;;;;
Диксон;2018;***;***;***;***;***;***;***;***;***;;;;
Екатеринбург(Кольцово);2018;1 078,02;1 953,60;1 486,35;1 600,50;1 468,27;1 404,05;1 461,95;1 614,94;1 443,08;;;;
Ербогачен;2018;***;***;***;***;***;***;***;***;***;;;;
Жиганск;2018;***;***;***;***;***;***;***;***;***;;;;
Жуковский;2018;***;***;***;***;***;***;***;***;***;;;;
Залив Лаврентия(Лаврентия);2018;***;***;***;***;***;***;***;***;***;;;;
Зея;2018;***;***;***;***;***;***;***;1;0,94;;;;
Зырянка;2018;***;***;***;***;***;***;***;***;***;;;;
Иваново(Южный);2018;22,6;13,41;36,9;0,09;15,63;32,31;10,93;15,55;0,14;;;;
Игарка;2018;***;***;***;***;***;***;***;***;***;;;;
"Игарка-АО ""КрасАвиаПорт""";2018;***;***;***;***;***;***;***;***;***;;;;
"Игарка-ООО""Норильск Карго""";2018;***;***;***;***;***;***;***;***;***;;;;
Игрим;2018;***;***;***;***;***;***;***;***;***;;;;
Ижевск;2018;***;***;***;***;***;***;***;***;***;;;;
Ижма;2018;***;***;***;***;***;***;***;***;***;;;;
Индига;2018;***;***;***;***;***;***;***;***;***;;;;
Инта;2018;***;***;***;***;***;***;***;***;***;;;;
Йошкар-Ола;2018;***;***;***;***;***;***;***;***;***;;;;
Иркутск;2018;537,06;585,51;664,3;708,59;805,66;744,31;723,36;760,25;765,28;;;;
Казань;2018;***;***;***;***;***;***;***;***;***;;;;
Калининград(Храброво);2018;429,39;433,88;522,46;531,76;623,16;557,76;513,04;662,57;608,79;;;;
Калуга;2018;***;***;***;***;***;***;***;0,76;0,9;;;;
Каратайка;2018;***;***;***;***;***;***;***;***;***;;;;
Кемерово;2018;75,86;99,62;108,26;114,36;105,77;106,25;110,63;116,88;118,46;;;;
Кепервеем;2018;***;***;***;***;***;***;***;***;***;;;;
Киренск;2018;***;***;***;***;***;***;***;***;***;;;;
Киров;2018;***;***;***;***;***;***;***;***;***;;;;
Когалым;2018;48,4;73,64;11,99;9,99;4,9;3,97;7,02;10,15;7,66;;;;
Кодинск;2018;***;***;***;***;***;***;***;***;***;;;;
Комсомольск-на-Амуре;2018;64,54;230,48;189,29;179,02;197,23;124,96;53,08;88,03;67,6;;;;
Кондинское;2018;***;***;***;***;***;***;***;***;***;;;;
Кострома;2018;***;***;***;***;***;***;***;***;***;;;;
Коткино;2018;***;***;***;***;***;***;***;***;***;;;;
Котлас;2018;***;***;***;***;***;***;***;***;***;;;;
Краснодар(Пашковский);2018;344,77;490,62;557,63;637,57;606,73;545;522,4;564,69;566,84;;;;
Красноселькуп;2018;***;***;***;***;***;***;***;***;***;;;;
"Красноярск(Емельяново)-ООО ""Аэропорт Емельяново""";2018;0;0;0;0;0;0;0;0;0;;;;
"Красноярск(Емельяново)-ООО ""Сибирь Карго Сервис""";2018;763,99;908,44;1 167,59;1 273,17;1 468,51;1 226,47;1 211,86;1 403,88;1 305,59;;;;
Красноярск(Черемшанка);2018;***;***;***;***;***;***;***;***;***;;;;
"Красноярск(Черемшанка)-АО ""КрасАвиаПорт""";2018;***;***;***;***;***;***;34,99;34,37;27,18;;;;
Курган;2018;***;***;***;***;***;***;***;***;***;;;;
Курильск(Ясный);2018;***;***;***;***;***;***;***;***;***;;;;
Курск(Восточный);2018;***;***;***;***;***;***;***;***;***;;;;
Кызыл;2018;0,98;0,68;0,38;0,52;0,44;0,47;1,38;4,8;0,72;;;;
Лабожское;2018;***;***;***;***;***;***;***;***;***;;;;
Ленск;2018;16,79;21,72;24,87;41,68;74,54;45,63;44,85;52,36;40,74;;;;
Лешуконское;2018;***;***;***;***;***;***;***;***;***;;;;
Липецк;2018;***;***;***;***;***;***;***;***;***;;;;
Магадан(Сокол);2018;437;576;651;653;721;693;684;687;610;;;;
Магнитогорск;2018;***;***;***;***;***;***;***;***;***;;;;
Мама;2018;***;***;***;***;***;***;***;***;***;;;;
Манилы;2018;***;***;***;***;***;***;***;***;***;;;;
Марково;2018;***;***;***;***;***;***;***;***;***;;;;
Махачкала(Уйташ);2018;***;***;***;***;***;***;***;***;***;;;;
Междуреченский;2018;***;***;***;***;***;***;***;***;***;;;;
Мезень;2018;***;***;***;***;***;***;***;***;***;;;;
Мильково;2018;***;***;***;***;***;***;***;***;***;;;;
Минеральные Воды;2018;0;0;0;0;0;0;0;0;0;;;;
"Минеральные Воды-ООО ""КРЕДИТИНВЕСТ""";2018;94,96;115,89;148;118,23;114,74;108,96;167,94;132,07;155,98;;;;
Мирный;2018;559,1;532,09;688,65;785,74;929,85;657,97;469,96;593,53;578,72;;;;
Москва(Внуково);2018;3 722,28;5 222,28;5 558,45;5 522,41;4 936,49;5 226,89;5 493,41;5 729,53;5 893,07;;;;
Москва(Домодедово);2018;8 302,24;10 126,18;9 755,39;9 397,39;11 327,33;9 621,69;10 301,11;10 307,97;9 364,02;;;;
Москва(Остафьево);2018;***;***;***;***;***;***;***;***;***;;;;
Москва(Шереметьево);2018;16 028,50;12767,50;17 560,50;17 961,80;19 730,20;24 769,50;20 397,30;20 769,40;21 371,40;;;;
Москва(Шереметьево)-Карго;2018;5 276,30;6 411,70;6 918,20;6 747,60;5 422,10;5 433,10;5 947,50;5 291,00;4 949,10;;;;
Мотыгино;2018;***;***;***;***;***;***;***;***;***;;;;
Мурманск;2018;109,49;129,69;141,71;225,06;145,39;122,1;126,54;140,94;146,58;;;;
Мыс-Каменный;2018;***;***;***;***;***;***;***;***;***;;;;
Надым;2018;22,93;25,43;31,29;31,45;34,2;26,61;30,46;27,74;36,64;;;;
Назрань(Магас/Слепцовская);2018;***;***;***;***;***;***;***;***;***;;;;
Нальчик;2018;***;***;***;***;***;***;***;***;***;;;;
Нарьян-Мар;2018;***;***;***;***;***;***;***;***;***;;;;
Нелькан;2018;***;***;***;***;***;***;***;***;***;;;;
Нерюнгри(Чульман);2018;***;***;***;***;***;***;***;***;***;;;;
Несь;2018;***;***;***;***;***;***;***;***;***;;;;
Нижнеангарск;2018;***;***;***;***;***;***;***;***;***;;;;
Нижневартовск;2018;225,2;320,5;333,1;334,2;334,8;210,4;148,8;144,8;171,4;;;;
Нижнекамск(Бегишево);2018;***;***;***;***;***;***;***;***;***;;;;
Нижнеудинск;2018;***;***;***;***;***;***;***;***;***;;;;
Нижний Новгород(Стригино);2018;44,47;58,61;63,54;69,95;68,09;69,42;67,97;70,2;70,29;;;;
Нижняя Пеша;2018;***;***;***;***;***;***;***;***;***;;;;
Николаевск-на-Амуре;2018;4;4,41;3,41;4,2;5,91;1,8;2,1;1,79;1,82;;;;
Никольское;2018;***;***;***;***;***;***;***;***;***;;;;
Новокузнецк;2018;111,1;181,9;198,5;92,1;89,8;208,9;87,2;89,7;88,1;;;;
Новосибирск(Толмачево);2018;1 340,50;1 669,40;2134,10;2176,70;2136,00;1 967,40;1 919,10;2202,00;2027,20;;;;
Новый Уренгой;2018;232,2;357,8;294,1;450,5;452,5;405,6;256,7;230,7;245,1;;;;
Ноглики;2018;***;***;***;***;***;***;***;***;***;;;;
"Норильск-ООО ""Аэропорт ""Норильск""";2018;0;0;0;0;0;0;0;0;0;;;;
"Норильск-ООО""Норильск Карго""";2018;651,24;1 067,88;1 185,86;1 051,95;1 340,14;456,74;165,56;172,26;295,5;;;;
Ноябрьск;2018;32,72;51,8;50,8;53,19;51,55;51,18;46,47;46,47;50,87;;;;
Нюрба;2018;***;***;***;***;***;***;***;***;***;;;;
Нягань;2018;***;***;***;***;***;***;***;***;***;;;;
Озерная;2018;***;***;***;***;***;***;***;***;***;;;;
Олекминск;2018;***;***;***;***;***;***;***;***;***;;;;
Оленек;2018;***;***;***;***;***;***;***;***;***;;;;
Ома;2018;***;***;***;***;***;***;***;***;***;;;;
Омолон;2018;***;***;***;***;***;***;***;***;***;;;;
Омск(Центральный);2018;187;230;262;265;257;269;254;272;266;;;;
Омсукчан;2018;***;***;***;***;***;***;***;***;***;;;;
Оренбург(Центральный);2018;93,45;101,95;104,92;102,49;97,96;95,44;96,09;106,31;109,6;;;;
Оссора;2018;***;***;***;***;***;***;***;***;***;;;;
Оха;2018;***;***;***;***;***;***;***;6,33;7,28;;;;
Охотск;2018;***;***;***;***;***;***;***;59,79;51,33;;;;
Палана;2018;***;***;***;***;***;***;***;***;***;;;;
Пахачи;2018;***;***;***;***;***;***;***;***;***;;;;
Певек;2018;22;72;104;78;78;67;88;79;16;;;;
Пенза;2018;***;***;***;***;***;***;***;***;***;;;;
Пермь(Большое Савино);2018;1,44;1,68;2,05;1,81;2,49;2,56;2,01;2,36;2,08;;;;
"Пермь(Большое Савино)-ООО ""Аэропортовый грузовой комплекс""";2018;119,7;140,7;155,1;180,1;176,6;157,3;170,5;160,5;151,5;;;;
Петрозаводск(Бесовец);2018;***;***;***;***;***;***;***;***;***;;;;
Петропавловск-Камчатский(Елизово);2018;31,77;32,58;32,32;29,01;27,71;39,51;56,43;122,24;165;;;;
"Петропавловск-Камчатский(Елизово)-ООО ""Петропавловск-Камчатский авиационный грузовой терминал""";2018;357,6;553,4;635,2;506,8;619;918,5;1 002,80;1 314,00;1 645,70;;;;
Печора;2018;***;***;***;***;***;***;***;***;***;;;;
Пионерный;2018;***;***;***;***;***;***;***;***;***;;;;
Пластун;2018;***;***;***;***;***;***;***;***;***;;;;
Подкаменная Тунгуска;2018;***;***;***;***;***;***;***;***;***;;;;
Полины Осипенко;2018;***;***;***;***;***;***;***;***;***;;;;
Полярный;2018;17,13;27,71;29,02;30,26;74,64;54,2;41,13;40,31;31,88;;;;
Провидения(Провидения Бухта);2018;***;***;***;***;***;***;***;***;***;;;;
Псков(Кресты);2018;***;***;***;***;***;***;***;***;***;;;;
Ростов-на-Дону;2018;0;0;0;0;0;0;0;0;0;;;;
Ростов-на-Дону(Платов);2018;***;***;***;***;***;***;***;***;***;;;;
Сабетта;2018;***;***;***;***;***;***;***;***;***;;;;
Саккырыр;2018;***;***;***;***;***;***;***;***;***;;;;
Салехард;2018;***;***;***;***;***;***;***;***;***;;;;
Самара(Курумоч);2018;180,74;220,64;225,59;237,83;244,12;218,73;224,63;218,72;220,53;;;;
Сангар;2018;***;***;***;***;***;***;***;***;***;;;;
Санкт-Петербург(Пулково);2018;1 791,00;1 894,00;2057,00;2243,00;2246,00;2387,00;2108,00;2444,00;2467,00;;;;
Саранск;2018;***;***;***;***;***;***;***;***;***;;;;
Саратов(Центральный);2018;26,7;32,4;38,5;38,1;38,9;32,7;31,7;37,9;42,1;;;;
Саскылах;2018;***;***;***;***;***;***;***;***;***;;;;
Светлогорск;2018;***;***;***;***;***;***;***;***;***;;;;
Северо-Енисейский;2018;***;***;***;***;***;***;***;***;***;;;;
Северо-Эвенск;2018;***;***;***;***;***;***;***;***;***;;;;
Сеймчан;2018;***;***;***;***;***;***;***;***;***;;;;
Симферополь;2018;***;***;***;***;***;***;***;***;***;;;;
Снопа;2018;***;***;***;***;***;***;***;***;***;;;;
Соболево;2018;***;***;***;***;***;***;***;***;***;;;;
Советская Гавань;2018;***;***;***;***;***;***;***;***;***;;;;
Советский;2018;***;***;***;***;***;***;***;***;***;;;;
Соловки;2018;***;***;***;***;***;***;***;***;***;;;;
Сочи;2018;137,67;213,77;189,47;164,17;212,19;249,79;208,83;249,39;923,03;;;;
Среднеколымск;2018;***;***;***;***;***;***;***;***;***;;;;
Ставрополь(Шпаковское);2018;45;58;63;67;66;61;60;62;59;;;;
Старый Оскол;2018;***;***;***;***;***;***;***;***;***;;;;
Стрежевой;2018;***;***;***;***;***;***;2,1;3;6,9;;;;
Сунтар;2018;***;***;***;***;***;***;***;***;***;;;;
Сургут;2018;195,68;263,47;280,34;269,95;306,42;287,52;285,29;289,08;280,26;;;;
Сыктывкар;2018;43,97;42,12;47,6;49,62;52,85;70,88;61,02;54,11;46,91;;;;
Тазовский;2018;***;***;***;***;***;***;***;***;***;;;;
Таксимо;2018;***;***;***;***;***;***;***;***;***;;;;
Талакан;2018;***;***;***;***;***;***;***;***;***;;;;
Тамбов;2018;0;0;0;0;0;0;0;0;0;;;;
Тарко-Сале;2018;***;***;***;***;***;***;***;***;***;;;;
Тигиль;2018;***;***;***;***;***;***;***;***;***;;;;
Тикси;2018;32,61;26,34;40,63;32,99;35,95;48,44;38,67;34,14;29,2;;;;
Тиличики;2018;***;***;***;***;***;***;***;***;***;;;;
Тобольск;2018;***;***;***;***;***;***;***;***;***;;;;
Толька;2018;***;***;***;***;***;***;***;***;***;;;;
Томск(Богашево);2018;105,65;130,48;158,86;152,69;138,07;145,77;136,8;152,75;149,11;;;;
Тугур;2018;***;***;***;***;***;***;***;***;***;;;;
Туруханск;2018;***;***;***;***;***;***;***;***;***;;;;
Тында;2018;***;***;***;***;***;***;***;0,04;0,02;;;;
Тюмень(Плеханово);2018;***;***;***;***;***;***;***;***;***;;;;
Тюмень(Рощино);2018;229,6;276,7;327;299,7;299,2;281,6;327,3;339,4;323,7;;;;
Удское;2018;***;***;***;***;***;***;***;***;***;;;;
Улан-Удэ(Мухино);2018;***;***;***;***;***;***;***;***;***;;;;
Ульяновск(Баратаевка);2018;***;***;***;***;***;***;***;***;***;;;;
Ульяновск(Восточный);2018;***;***;***;***;***;***;***;***;***;;;;
Урай;2018;***;***;***;***;***;***;***;***;***;;;;
Ургалан;2018;***;***;***;***;***;***;***;***;***;;;;
Уренгой;2018;***;***;***;***;***;***;***;***;***;;;;
Усинск;2018;***;***;***;***;***;***;***;***;***;;;;
Усть-Камчатск;2018;***;***;***;***;***;***;***;***;***;;;;
Усть-Кара;2018;***;***;***;***;***;***;***;***;***;;;;
Усть-Куйга;2018;***;***;***;***;***;***;***;***;***;;;;
Усть-Кут;2018;***;***;***;***;***;***;***;***;***;;;;
Усть-Мая;2018;***;***;***;***;***;***;***;***;***;;;;
Усть-Нера;2018;***;***;***;***;***;***;***;***;***;;;;
Усть-Хайрюзово;2018;***;***;***;***;***;***;***;***;***;;;;
Усть-Цильма;2018;***;***;***;***;***;***;***;***;***;;;;
Уфа;2018;25,07;16,76;21,8;19,7;17,01;17,59;16,64;27,62;16,71;;;;
"Уфа-ООО ""Транстерминал-Аэро""";2018;249,95;232,59;505,7;536,03;359,04;406,68;328,49;420,42;356,49;;;;
Ухта;2018;***;***;***;***;***;***;***;***;***;;;;
Хабаровск(МВЛ);2018;1,42;3,35;2,88;3,29;6,03;10,93;4,01;7,3;0,78;;;;
"Хабаровск(Новый)-ОАО ""Хабаровский аэропорт""";2018;1 413,91;1 986,36;1 957,41;1 879,10;1 687,06;1 678,89;1 585,75;1 805,40;1 984,61;;;;
"Хабаровск(Новый)-ООО ""Авиатерминал""";2018;0;0;0;0;0;0;0;0;0;;;;
Хандыга;2018;***;***;***;***;***;***;***;***;***;;;;
Ханты-Мансийск;2018;26;38,12;45,01;43,91;50,12;35,69;36,27;48,02;49,2;;;;
Харута;2018;***;***;***;***;***;***;***;***;***;;;;
Хатанга;2018;119,6;211,79;0;0;0;0;0;0;0;;;;
Херпучи;2018;***;***;***;***;***;***;***;0,25;0,32;;;;
Хонуу(Мома);2018;***;***;***;***;***;***;***;***;***;;;;
Хорей-Вер;2018;***;***;***;***;***;***;***;***;***;;;;
Чара;2018;***;***;***;***;***;***;***;***;***;;;;
Чебоксары;2018;***;***;***;***;***;***;***;***;***;;;;
Чегдомын;2018;***;***;***;***;***;***;***;***;***;;;;
Челябинск(Баландино);2018;201,43;233,28;249,83;271,05;224,06;221,24;261,6;255,03;237,49;;;;
Череповец;2018;***;***;***;***;***;***;***;***;***;;;;
Черский;2018;***;***;***;***;***;***;***;***;***;;;;
Чижа;2018;***;***;***;***;***;***;***;***;***;;;;
Чита(Кадала);2018;176,24;182,45;246,71;278,11;251,1;241,39;237,15;273,83;286,09;;;;
Чокурдах;2018;***;***;***;***;***;***;***;***;***;;;;
Чумикан;2018;***;***;***;***;***;***;***;3,45;5;;;;
Шахтерск;2018;***;***;***;***;***;***;***;1,62;0,97;;;;
Шойна;2018;***;***;***;***;***;***;***;***;***;;;;
Шушенское;2018;***;***;***;***;***;***;0;0;0;;;;
Эгвекинот(Залив Креста);2018;***;***;***;***;***;***;***;***;***;;;;
Экимчан;2018;***;***;***;***;***;***;***;0,2;0,1;;;;
Элиста;2018;***;***;***;***;***;***;***;***;***;;;;
Южно-Курильск(Менделеево);2018;***;***;***;***;***;***;***;***;***;;;;
Южно-Сахалинск(Хомутово);2018;590,83;716,12;727,62;740,51;949,9;1 060,58;1 104,60;863,7;893,41;;;;
Якутск;2018;507,45;726,99;890,64;848,08;743,5;876,79;770,84;829,77;861,4;;;;
Якутск(Маган);2018;***;***;***;***;***;***;***;***;***;;;;
Ямбург;2018;0;0,1;0,01;1,29;0,02;0,2;0,01;0,03;0;;;;
Ярославль(Туношна);2018;240,67;186,05;320,54;373,23;434,25;134,2;40,18;75,7;128,81;;;;
Ярцево;2018;***;***;***;***;***;***;***;***;***;;;;
Абакан;2017;48,36;77,08;95,33;90,28;91,93;57,13;82,59;81,2;76,05;139,67;71,58;88,84;1000,04
Айхал;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Алдан;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Амдерма;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Анадырь;2017;117,57;241,91;360,26;305,86;161,47;136,82;89,39;109,33;117,55;121,67;89,18;313,33;2164,34
Анапа(Витязево);2017;40,52;37,88;49,3;49,8;48,08;74,83;76,06;74,43;77,64;61,02;64,11;75,38;729,05
Антипаюта;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Апатиты(Хибины);2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Архангельск(Васьково);2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Архангельск(Талаги);2017;93,8;159,1;188;218,1;302,5;245,7;119;211,1;127,6;213,41;270,56;359,21;2508,08
Астрахань(Нариманово);2017;48,55;55,32;70,39;69,11;62,89;62,18;62,38;62,62;67,68;76,72;68,36;95,02;801,22
Ачинск;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Аян;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Багдарин;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Байкит;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Барнаул(Имени Г.С.Титова);2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Батагай;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Белая Гора;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Белгород;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Белоярский;2017;0;0;4,9;11,1;12,1;5,7;10,4;14,9;7,7;6,6;27,5;13,8;114,7
Белушье;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Березово;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
"Беринговский(Филиал ФКП ""А/П Чукотки"")";2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Бийск;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Благовещенск;2017;212,5;283;346,7;336,1;319,3;298,8;388,5;426,5;384;377,1;344,4;471,4;4188,3
Бованенково;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Богородское;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Богучаны;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Бодайбо;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Братск;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Брянск;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Бугульма;2017;1,94;2,37;1,91;1,45;1,56;1,97;2,84;2,81;1,59;1,81;1,31;1,6;23,16
Буревестник;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Ванавара;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Варандей;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Верхневилюйск;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Вижас;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Вилюйск;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Витим;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Владивосток(Кневичи);2017;1362,31;1464,1;2109,03;1894,36;1869,82;1898,05;1899,17;2084,67;2085,28;2108,5;2129,72;2412,19;23317,2
Владикавказ(Беслан);2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Владимир;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Волгоград(Гумрак);2017;53;55;75;64;66;66;67;73;83;83;89;99,2;873,2
Вологда;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Волоковая;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Воркута;2017;8,02;7,31;7,88;12,11;10,51;6,77;6,63;8,01;7,41;5,86;6,74;7,7;94,95
Воронеж(Чертовицкое);2017;10,31;5,7;14,51;11,67;14,33;10,37;13,88;12,52;13,01;60,39;16,9;19,05;202,64
Вуктыл;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Геленджик;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Горно-Алтайск;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Грозный(Северный);2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Гыда;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Дальнереченск;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Депутатский;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Диксон;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Дудинка;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Ейск;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Екатеринбург(Кольцово);2017;1136,49;1463,22;1818,36;1504,9;1388,83;1465,17;1703,61;1805,98;1763,96;1722,22;1768,26;1799,27;19340,27
Екатеринбург(Уктус);2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Елизово(Авачинский);2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Енисейск;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Ербогачен;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Жиганск;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Жуковский;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Залив Лаврентия(Лаврентия);2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Зея;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Зональное;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Зырянка;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Иваново(Южный);2017;0,04;15,68;20;146,5;0;74,31;101,2;0;33,32;0;39,34;152,21;582,6
Игарка;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Игрим;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Ижевск;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Ижма;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Индига;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Инта;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Йошкар-Ола;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Иркутск;2017;551,61;582,76;848,17;848,33;822,15;840,52;710,8;748,54;732,44;977,99;1019,37;993,23;9675,91
Кавалерово;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Казань;2017;135,6;133,26;***;***;***;***;***;***;***;***;***;***;***
Казачинское(Казачинск);2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Калининград(Храброво);2017;354,74;456,17;544,26;557,4;518,57;538,47;626,76;629,42;634,05;614,7;542,11;662,01;6678,66
Калуга;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Каратайка;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Каргасок;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Кедровый;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Кемерово;2017;233,61;287,24;423,95;473,49;510,26;474,59;205,71;111,05;113,56;118,34;115,08;152,88;3219,76
Кепервеем;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
