Наименование аэропорта РФ;Год периода данных;Январь;Февраль;Март;Апрель;Май;Июнь;Июль;Август;Сентябрь;Октябрь;Ноябрь;Декабрь;Январь - Декабрь
Сабетта;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Саккырыр;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Салехард;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Самара(Курумоч);2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Самара(Смышляевка);2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Сангар;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Санкт-Петербург(Пулково);2014;1679;1832;2228;2191;1992;1871;2047;2197;1938;2745;2037;2603;25360
Саранск;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Саратов(Центральный);2014;42,9;46,7;51;52,9;42,7;43,1;46,4;47,2;50,4;51,5;40;54,7;569,5
Саскылах;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Светлогорск;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Северо-Енисейский;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
Северо-Эвенск;2014;***;***;***;***;***;***;***;***;***;***;***;***;***
